"iteminfoid","itemcode","itemdescrip","supplierprofid","editedon","editedby","created_at","updated_at"
1,"GT001003","1 Test Item",3001,"2019-11-23 11:12:25","admin","",""
2,"KINO105","B&B Kids Powder 150gx36 Barbie",2979,"2019-12-12 23:55:50","admin","",""
3,"KINO101","B&B Kids Powder 60gx36 Green",2979,"2020-09-18 18:40:59","admin","",""
4,"KINO100","B&B Kids Powder 60gx36 Pink",2979,"2019-12-13 00:17:48","admin","",""
5,"KINO102","B&B Kids Powder 60gx36 Yellow",2979,"","","",""
6,"KINO095","B&B Kids S & C Orange 100mlx36",2979,"","","",""
7,"KINO093","B&B Kids S & C Strawberry 100mlx36 (Pink)",2971,"2021-05-24 17:36:00","manualtesting","","0000-00-00 00:00:00"
8,"KINO098","B&b Kids Shampoo Barbie Olive Leave Extract 180mlx36",2979,"","","",""
9,"KINO099","B&b Kids Shampoo Barbie Pearl Extract 180mlx36",2979,"","","",""
10,"KINO110","B&B Kids Spray Cologne 125ml Barbie Fashionista",2979,"","","",""
11,"KINO109","B&B Kids Spray Cologne 125ml Barbie So In Style",2979,"","","",""
12,"KINO111","B&B Kids Toothpaste Strawberry Pink 50gx48",2979,"","","",""
13,"BTBW101","Baby Tender Baby  Wipes (Blue) 80'sx48",2986,"","","",""
14,"BEVH2O03","Banahaw Spring Purified Water 1Lx12's",2971,"","","",""
15,"BEVH2O01","Banahaw Spring Purified Water 350mlx24's",2971,"","","",""
16,"BEVH2O02","Banahaw Spring Purified Water 500mlx24's",2971,"","","",""
17,"BEV271","BELLIC P & G BRIGHT. SOAP 48x135g",2971,"","","",""
18,"BEV271P","BELLIC P & G BRIGHT. SOAP 48x135g B1T1",2971,"","","",""
19,"BEV274P","BELLIC P&G BRGHTNG BODY LOTION 12x120g B1T1",2971,"","","",""
20,"BEV275","BELLIC P&G BRGHTNG FACIAL TONER 12x150ml",2971,"","","",""
21,"BEV275P","BELLIC P&G BRGHTNG FACIAL TONER 12x150ml B1T1",2971,"","","",""
22,"BEV276","BELLIC P&G DAILY DFNSE CREAM SPF30 24x30g",2971,"","","",""
23,"BEV276P","BELLIC P&G DAILY DFNSE CREAM SPF30 24x30g B1T1",2971,"","","",""
