"itempricingid","brcode","iteminfoid","pricecodeid","price","encodedon","encodedby","editedby","editedon"
17,1,1,2,124.00,"2019-10-24 23:20:34","admin","admin","2019-10-26 11:47:29"
18,1,2,1,123.00,"2019-10-24 23:22:10","admin","",""
19,1,2,2,155.00,"2019-10-24 23:22:16","admin","",""
20,1,1,4,111.00,"2019-10-26 11:50:32","admin","",""
21,1,1,5,166.00,"2019-10-26 11:50:38","admin","",""
22,1,1,1,110.00,"2019-11-16 19:10:32","admin","admin","2020-09-06 22:10:42"
23,1,2,3,160.00,"2019-12-12 23:55:28","admin","",""
24,1,3,1,1000.00,"2019-12-12 23:56:11","admin","",""
25,1,3,2,1200.00,"2019-12-12 23:56:27","admin","",""
26,1,4,1,123.00,"2019-12-13 00:17:11","admin","",""
27,1,4,2,124.00,"2019-12-13 00:17:19","admin","",""
28,1,4,3,127.00,"2019-12-13 00:17:25","admin","",""
29,1,5,1,123.00,"2019-12-13 00:18:21","admin","",""
30,1,5,2,144.00,"2019-12-13 00:18:28","admin","",""
31,1,5,3,166.00,"2019-12-13 00:18:36","admin","",""
32,1,6,1,123.00,"2019-12-13 00:39:59","admin","",""
33,1,6,2,129.00,"2019-12-13 00:45:08","admin","",""
34,1,8,3,123.00,"2020-09-06 09:39:27","admin","",""
35,1,8,1,33.00,"2020-09-06 09:40:29","admin","",""
36,1,7,1,1.00,"2020-09-18 19:40:54","admin","",""
37,1,9,1,1.00,"2020-09-18 19:40:59","admin","",""
38,1,10,1,1.00,"2020-09-18 19:41:02","admin","",""
39,1,11,1,1.00,"2020-09-18 19:41:05","admin","",""
40,1,12,1,1.00,"2020-09-18 19:41:08","admin","",""
41,1,13,1,1.00,"2020-09-18 19:41:11","admin","",""
42,1,14,1,1.00,"2020-09-18 19:41:16","admin","",""
43,1,15,1,1.00,"2020-09-18 19:41:19","admin","",""
44,1,16,1,1.00,"2020-09-18 19:41:22","admin","",""
45,1,17,1,1.00,"2020-09-18 19:41:26","admin","",""
46,1,18,1,1.00,"2020-09-18 19:41:29","admin","",""
47,1,19,1,1.00,"2020-09-18 19:41:32","admin","",""
48,1,20,1,1.00,"2020-09-18 19:41:35","admin","",""
49,1,21,1,1.00,"2020-09-18 19:41:38","admin","",""
50,1,22,1,1.00,"2020-09-18 19:41:41","admin","",""
51,1,23,1,1.00,"2020-09-18 19:41:43","admin","",""
52,1,24,1,1.00,"2020-09-18 19:41:46","admin","",""
53,1,25,1,1.00,"2020-09-18 19:41:48","admin","",""
54,1,26,1,1.00,"2020-09-18 19:41:51","admin","",""
55,1,27,1,1.00,"2020-09-18 19:41:54","admin","",""
56,1,28,1,1.00,"2020-09-18 19:41:57","admin","",""
57,1,29,1,1.00,"2020-09-18 19:42:00","admin","",""
58,1,30,1,1.00,"2020-09-18 19:42:02","admin","",""
59,1,31,1,1.00,"2020-09-18 19:42:05","admin","",""
60,1,32,1,1.00,"2020-09-18 19:42:07","admin","",""
61,1,33,1,1.00,"2020-09-18 19:42:10","admin","",""
62,1,34,1,1.00,"2020-09-18 19:42:12","admin","",""
63,1,35,1,1.00,"2020-09-18 19:42:24","admin","",""
64,1,36,1,1.00,"2020-09-18 19:42:27","admin","",""
65,1,37,1,1.00,"2020-09-18 19:42:30","admin","",""
66,1,38,1,1.00,"2020-09-18 19:42:33","admin","",""
67,1,39,1,1.00,"2020-09-18 19:42:37","admin","",""
68,1,40,1,1.00,"2020-09-18 19:42:39","admin","",""
69,1,41,1,1.00,"2020-09-18 19:42:42","admin","",""
70,1,42,1,1.00,"2020-09-18 19:42:44","admin","",""
71,1,43,1,1.00,"2020-09-18 19:42:46","admin","",""
72,1,44,1,1.00,"2020-09-18 19:42:48","admin","",""
73,1,45,1,1.00,"2020-09-18 19:42:51","admin","",""
74,1,46,1,1.00,"2020-09-18 19:42:54","admin","",""
75,1,47,1,1.00,"2020-09-18 19:42:57","admin","",""
76,1,48,1,1.00,"2020-09-18 19:45:15","admin","",""
77,1,49,1,1.00,"2020-09-18 19:45:18","admin","",""
78,1,50,1,1.00,"2020-09-18 19:45:21","admin","",""
79,1,51,1,1.00,"2020-09-18 19:45:24","admin","",""
80,1,52,1,1.00,"2020-09-18 19:45:27","admin","",""
81,1,53,1,1.00,"2020-09-18 19:45:29","admin","",""
82,1,54,1,1.00,"2020-09-18 19:45:32","admin","",""
83,1,55,1,1.00,"2020-09-18 19:45:36","admin","",""
84,1,56,1,1.00,"2020-09-18 19:45:38","admin","",""
85,1,57,1,1.00,"2020-09-18 19:45:41","admin","",""
86,1,58,1,1.00,"2020-09-18 19:45:43","admin","",""
87,1,59,1,1.00,"2020-09-18 19:45:46","admin","",""
88,1,60,1,1.00,"2020-09-18 19:45:49","admin","",""
89,1,61,1,1.00,"2020-09-18 19:45:57","admin","",""
90,1,62,1,1.00,"2020-09-18 19:46:00","admin","",""
91,1,63,1,1.00,"2020-09-18 19:46:16","admin","",""
92,1,64,1,1.00,"2020-09-18 19:46:18","admin","",""
93,1,65,1,1.00,"2020-09-18 19:46:21","admin","",""
94,1,66,1,1.00,"2020-09-18 19:46:23","admin","",""
95,1,67,1,1.00,"2020-09-18 19:46:25","admin","",""
96,1,68,1,1.00,"2020-09-18 19:46:28","admin","",""
97,1,69,1,1.00,"2020-09-18 19:47:01","admin","",""
98,1,70,1,1.00,"2020-09-18 19:47:04","admin","",""
99,1,71,1,1.00,"2020-09-18 19:47:07","admin","",""
100,1,72,1,1.00,"2020-09-18 19:47:09","admin","",""
101,1,73,1,1.00,"2020-09-18 19:47:12","admin","",""
102,1,74,1,1.00,"2020-09-18 19:47:15","admin","",""
103,1,75,1,1.00,"2020-09-18 19:47:17","admin","",""
104,1,76,1,1.00,"2020-09-18 19:47:21","admin","",""
105,1,77,1,1.00,"2020-09-18 19:47:23","admin","",""
106,1,78,1,1.00,"2020-09-18 19:47:26","admin","",""
107,1,79,1,1.00,"2020-09-18 19:47:30","admin","",""
108,1,80,1,1.00,"2020-09-18 19:47:37","admin","",""
109,1,81,1,1.00,"2020-09-18 19:47:40","admin","",""
110,1,82,1,1.00,"2020-09-18 19:47:44","admin","",""
111,1,83,1,1.00,"2020-09-18 19:47:47","admin","",""
112,1,84,1,1.00,"2020-09-18 19:47:49","admin","",""
113,1,85,1,1.00,"2020-09-18 19:47:52","admin","",""
114,1,86,1,1.00,"2020-09-18 19:47:54","admin","",""
115,1,87,1,1.00,"2020-09-18 19:47:57","admin","",""
116,1,88,1,1.00,"2020-09-18 19:50:56","admin","",""
117,1,89,1,1.00,"2020-09-18 19:50:59","admin","",""
118,1,90,1,1.00,"2020-09-18 19:51:02","admin","",""
119,1,91,1,1.00,"2020-09-18 19:51:05","admin","",""
120,1,92,1,1.00,"2020-09-18 19:51:08","admin","",""
121,1,93,1,1.00,"2020-09-18 19:51:10","admin","",""
122,1,94,1,1.00,"2020-09-18 19:51:13","admin","",""
123,1,95,1,1.00,"2020-09-18 19:51:15","admin","",""
124,1,96,1,1.00,"2020-09-18 19:51:17","admin","",""
125,1,97,1,1.00,"2020-09-18 19:51:20","admin","",""
126,1,98,1,1.00,"2020-09-18 19:51:23","admin","",""
127,1,99,1,1.00,"2020-09-18 19:51:25","admin","",""
128,1,100,1,1.00,"2020-09-18 19:51:28","admin","",""
129,1,101,1,1.00,"2020-09-18 19:51:30","admin","",""
130,1,102,1,1.00,"2020-09-18 19:51:33","admin","",""
131,1,103,1,1.00,"2020-09-18 19:51:36","admin","",""
132,1,104,1,1.00,"2020-09-18 19:51:38","admin","",""
133,1,105,1,1.00,"2020-09-18 19:51:40","admin","",""
134,1,106,1,1.00,"2020-09-18 19:51:43","admin","",""
135,1,107,1,1.00,"2020-09-18 19:51:45","admin","",""
