"profid","accountname","fname","lname","mname","bday","memdate","acctstat","address","gender","civilstat","remarks","proftype","profpic","profgroup","previd","billname","shipname","billaddr1","billaddr2","billcity","shipaddr1","shipaddr2","shipcity","area","kobid","contact","encodedby","encodedon","editedby","editedon","salesperson","clientgroupid","pricecodeid","shipperid","hasbranches","tin"
1,"234 STORE - TUBURAN"," "," "," ","1990-01-01","1990-01-01",1,"TUBURAN CEBU",1,1," ",1,"",99,"234000","","","","","TUBURAN CEBU","","","TUBURAN CEBU","Cebu",15,"","","","admin","2020-01-26 17:04:21","CARL MONRAY GABASA",1,1,"0",0,"asdf"
2,"24/7 CONVENIENCE STORE - BORONGAN"," "," "," ","1990-01-01","1990-01-01",1,"BORONGAN",1,1," ",1,"",99,"247003","","","","","BORONGAN","","","BORONGAN","Leyte",2,"","","","","","PHILIP ESCOL",1,1,"0",0,""
3,"YELLOW BEE 24 CONVENIENCE CORP.- LAHUG"," "," "," ","1990-01-01","1990-01-01",1,"WILSON ST. LAHUGCEBU",1,1," ",1,"",99,"24C001","","","WILSON ST. LAHUG","","CEBU","WILSON ST. LAHUG","","","#N/A",2,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
4,"YELLOW BEE 24 CONV. - NRA"," "," "," ","1990-01-01","1990-01-01",1,"MAROO ARCADE, PARKMALLNRA MANDAUE CITY",1,1," ",1,"",99,"24C002","","","","MAROO ARCADE, PARKMALL","NRA MANDAUE CITY","","MAROO ARCADE, PARKMALL","NRA MANDAUE CITY","Cebu",3,"","","","","","Romnick Remolado",1,1,"0",0,""
5,"2M'S STORE - BOGO"," "," "," ","1990-01-01","1990-01-01",1,"BOGO CITY, CEBU",1,1," ",1,"",99,"2M0000","","","","","BOGO CITY, CEBU","","","BOGO CITY, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
6,"2M AGRIVET - LEYTE"," "," "," ","1990-01-01","1990-01-01",1,"LEYTE, LEYTE",1,1," ",1,"",99,"2MA000","","","","","LEYTE, LEYTE","","","LEYTE, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
7,"2M STORE - BILIRAN"," "," "," ","1990-01-01","1990-01-01",1,"BILIRAN, LEYTE",1,1," ",1,"",99,"2MS000","","","","","BILIRAN, LEYTE","","","BILIRAN, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
8,"2MS STORE - BOGO"," "," "," ","1990-01-01","1990-01-01",1,"BOGO, CEBU",1,1," ",1,"",99,"2MS001","","","","","BOGO, CEBU","","","BOGO, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
9,"2 RN STORE - HINDANG"," "," "," ","1990-01-01","1990-01-01",1,"HINDANG LEYTE",1,1," ",1,"",99,"2RN000","","","","","HINDANG LEYTE","","","HINDANG LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
10,"2 SISTER STORE - BABAG"," "," "," ","1990-01-01","1990-01-01",1,"BABAG 1, LLC",1,1," ",1,"",99,"2SS000","","","","","BABAG 1, LLC","","","BABAG 1, LLC","#N/A",15,"","","","","","JEREMIAH DAVID BENJAMIN",1,1,"0",0,""
